Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CMCSA","COMCAST CORP CLASS A","Equity","0.74","44.97","7,042,327.00","316,693,445.19","316,693,445.19","Communication","2044545","US20030N1019","NASDAQ"
"HD","HOME DEPOT INC","Equity","0.72","218.38","1,398,839.00","305,478,460.82","305,478,460.82","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","0.67","11.16","25,524,478.00","284,853,174.48","284,853,174.48","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.67","74.29","3,828,984.00","284,455,221.36","284,455,221.36","Health Care","2577609","US1266501006","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.62","153.48","1,721,078.00","264,151,051.44","264,151,051.44","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.59","59.29","4,219,964.00","250,201,665.56","250,201,665.56","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.59","86.86","2,880,249.00","250,178,428.14","250,178,428.14","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.54","55.08","4,191,784.00","230,883,462.72","230,883,462.72","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"TFC","TRUIST FINANCIAL CORP","Equity","0.52","56.32","3,946,476.00","222,265,528.32","222,265,528.32","Financials","BKP7287","US89832Q1094","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.51","229.93","940,048.00","216,145,236.64","216,145,236.64","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.50","147.68","1,457,368.00","215,224,106.24","215,224,106.24","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.49","65.03","3,238,834.00","210,621,375.02","210,621,375.02","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","0.49","200.72","1,044,005.00","209,552,683.60","209,552,683.60","Financials","2965839","US12572Q1058","NASDAQ"
"GILD","GILEAD SCIENCES INC","Equity","0.49","64.98","3,222,306.00","209,385,443.88","209,385,443.88","Health Care","2369174","US3755581036","NASDAQ"
"CB","CHUBB LTD","Equity","0.49","155.66","1,328,762.00","206,835,092.92","206,835,092.92","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.48","159.63","1,290,448.00","205,994,214.24","205,994,214.24","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","0.47","82.82","2,423,788.00","200,738,122.16","200,738,122.16","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.47","55.35","3,595,467.00","199,009,098.45","199,009,098.45","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","0.46","271.97","722,378.00","196,465,144.66","196,465,144.66","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.46","91.21","2,147,819.00","195,902,570.99","195,902,570.99","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.46","63.70","3,067,887.00","195,424,401.90","195,424,401.90","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
